probe_id,probe_isp,target,cls,distance_km,theoretical_ms,measured_ms,ratio,intercity
1016143,cybernet,en.dailypakistan.com.pk,Abroad,5683.9,55.665,113.9,2.05,True
1016154,cybernet,en.dailypakistan.com.pk,Abroad,5683.8,55.664,113.1,2.03,True
1016393,ptcl,en.dailypakistan.com.pk,Abroad,5421.9,53.099,134.6,2.53,True
7613,zcom,enic.pk,Abroad,4563.1,44.689,186.9,4.18,True
7764,ptcl,enic.pk,Abroad,4555.0,44.61,187.6,4.21,True
60223,nayatel,enic.pk,Abroad,4819.3,47.197,197.6,4.19,True
62224,transworld,enic.pk,Abroad,4555.2,44.611,191.6,4.29,True
64078,tes,enic.pk,Abroad,4562.4,44.682,190.5,4.26,True
64535,orbit,enic.pk,Abroad,4642.8,45.47,187.7,4.13,True
64722,tes,enic.pk,Abroad,4727.0,46.294,173.2,3.74,True
65892,nayatel,enic.pk,Abroad,4562.1,44.679,204.9,4.59,True
1014872,fasttel,enic.pk,Abroad,4812.5,47.131,186.9,3.97,True
1015491,zcom,enic.pk,Abroad,4565.0,44.707,193.8,4.33,True
1015679,nova,enic.pk,Abroad,4553.0,44.59,187.7,4.21,True
1016126,ptcl,enic.pk,Abroad,4737.4,46.395,187.2,4.03,True
1016143,cybernet,enic.pk,Abroad,4737.2,46.394,158.1,3.41,True
1016154,cybernet,enic.pk,Abroad,4737.3,46.394,166.4,3.59,True
1016393,ptcl,enic.pk,Abroad,4841.0,47.41,194.1,4.09,True
7613,zcom,epads.gov.pk,Pakistan,904.9,8.862,16.5,1.86,True
7764,ptcl,epads.gov.pk,Pakistan,906.9,8.882,21.3,2.4,True
60223,nayatel,epads.gov.pk,Pakistan,1019.0,9.979,20.8,2.08,True
62224,transworld,epads.gov.pk,Pakistan,906.8,8.88,20.4,2.3,True
64078,tes,epads.gov.pk,Pakistan,907.5,8.887,23.2,2.61,True
64535,orbit,epads.gov.pk,Pakistan,816.9,8.0,35.5,4.44,True
64722,tes,epads.gov.pk,Pakistan,126.0,1.234,3.4,2.76,True
65892,nayatel,epads.gov.pk,Pakistan,907.3,8.886,21.3,2.4,True
1014872,fasttel,epads.gov.pk,Pakistan,1010.5,9.896,23.0,2.32,True
1015491,zcom,epads.gov.pk,Pakistan,910.3,8.915,99.6,11.17,True
1015679,nova,epads.gov.pk,Pakistan,907.7,8.889,17.7,1.99,True
1016126,ptcl,epads.gov.pk,Pakistan,125.9,1.233,25.6,20.76,True
1016143,cybernet,epads.gov.pk,Pakistan,126.0,1.234,4.5,3.65,True
1016154,cybernet,epads.gov.pk,Pakistan,125.9,1.233,4.0,3.24,True
1016393,ptcl,epads.gov.pk,Pakistan,844.0,8.266,23.9,2.89,True
